real_data,synth,utterance,CER,WER
0.25,1,317,0.14563106796116504,0.5454545454545454
0.25,1,318,0.05333333333333334,0.2857142857142857
0.25,1,319,0.13402061855670103,0.5882352941176471
0.25,1,320,0.13671875,0.54
0.25,1,321,0.14074074074074075,0.6153846153846154
0.25,1,322,0.10638297872340426,0.75
0.25,1,323,0.031914893617021274,0.10526315789473684
0.25,1,324,0.11214953271028037,0.47619047619047616
0.25,1,325,0.1676300578034682,0.53125
0.25,1,326,0.13953488372093023,0.5454545454545454
0.25,1,327,0.11439114391143912,0.41509433962264153
0.25,1,328,0.15228426395939088,0.5714285714285714
0.25,1,329,0.13076923076923078,0.4
0.25,1,330,0.3103448275862069,0.6666666666666666
0.25,1,331,0.17777777777777778,0.52
0.25,1,332,0.11510791366906475,0.34615384615384615
0.25,1,333,0.18840579710144928,0.6153846153846154
0.25,1,334,0.10204081632653061,0.3448275862068966
0.25,1,335,0.14917127071823205,0.5454545454545454
0.25,1,336,0.11320754716981132,0.5
0.25,1,337,0.14606741573033707,0.4666666666666667
0.25,1,338,0.10144927536231885,0.4166666666666667
0.25,1,339,0.17142857142857143,0.5714285714285714
0.25,1,340,0.13829787234042554,0.4166666666666667
0.25,1,341,0.20987654320987653,0.8125
0.25,1,342,0.11475409836065574,0.3333333333333333
0.25,1,343,0.20610687022900764,0.5
0.25,1,344,0.336734693877551,0.8333333333333334
0.25,1,345,0.15384615384615385,0.8571428571428571
0.25,1,346,0.16806722689075632,0.6190476190476191
0.25,1,347,0.14705882352941177,0.6363636363636364
0.25,1,348,0.15384615384615385,0.5
0.25,1,349,0.08333333333333333,0.35714285714285715
0.25,1,350,0.23636363636363636,0.8
0.25,1,351,0.10526315789473684,0.4
0.25,1,352,0.20689655172413793,0.5
0.25,1,353,0.41025641025641024,1.0
0.25,1,354,0.14457831325301204,0.6
0.25,1,355,0.19047619047619047,0.6
0.25,1,356,0.12195121951219512,0.4
0.25,1,357,0.08888888888888889,0.3
0.25,1,358,0.1016949152542373,0.4166666666666667
0.25,1,359,0.12857142857142856,0.4
0.25,1,360,0.17142857142857143,0.5714285714285714
0.25,1,361,0.3707865168539326,1.0666666666666667
0.25,1,362,0.20512820512820512,0.3333333333333333
0.25,1,363,0.12021857923497267,0.42105263157894735
0.25,1,364,0.28125,0.75
0.25,1,365,0.16326530612244897,0.45
0.25,1,366,0.15625,0.5384615384615384
0.25,1,367,0.14285714285714285,0.5555555555555556
0.25,1,368,0.15384615384615385,0.47619047619047616
0.25,1,369,0.22727272727272727,0.5833333333333334
0.25,1,370,0.2903225806451613,0.6923076923076923
0.25,1,371,0.1111111111111111,0.3684210526315789
0.25,1,372,0.21739130434782608,0.5652173913043478
0.25,1,373,0.15,0.8571428571428571
0.25,1,374,0.21052631578947367,0.7
0.25,1,375,0.3404255319148936,0.875
0.25,1,376,0.17391304347826086,0.45
0.25,1,377,0.21951219512195122,0.75
